"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC"
"C1,C2,C3,C7,C13,C15","6","4.7uF","","","","Capacitor_SMD:C_0402_1005Metric","~","C23733"
"C4,C5,C6,C8,C9,C10,C11,C12","8","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"C16,C17","2","4.7uF","","","","RP2350_60QFN_minimal:C_0402_1005Metric_small_pads","~","C23733"
"C18,C19","2","15pF","","","","Capacitor_SMD:C_0402_1005Metric","~","C1548"
"D1","1","LED_Small","","","","LED_SMD:LED_0603_1608Metric","~","C2286"
"D2,D3","2","MSK4005","","","","Diode_SMD:D_SOD-523","","C345957"
"J6","1","USB_B_Micro","","","","piers footprints:USB_Micro-B_micro_xnj_073_C404969","~","C404969"
"L1","1","3.3u","","","","RP2350_60QFN_minimal:L_pol_2016","~","C42411119"
"R1,R2,R5,R6","4","1K","","","","Resistor_SMD:R_0402_1005Metric","~","C11702"
"R3,R7,R8","3","10K","","","","Resistor_SMD:R_0402_1005Metric","~","C25744"
"R4","1","33R","","","","Resistor_SMD:R_0402_1005Metric","~","C25105"
"U1","1","RP2350_60QFN","","","","RP2350_60QFN_minimal:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias","","C42411118"
"U3","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","","C51118"
"U4","1","USBLC6-2P6","","","","Package_TO_SOT_SMD:SOT-666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C15999"
"U5","1","W25Q16JVSS","","","","Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","https://www.winbond.com/hq/support/documentation/levelOne.jsp?__locale=en&DocNo=DA00-W25Q16JV.1","C2843335"
"Y1","1","Crystal_GND24","","","","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","~","C20625731"
