Ref,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","4.7uF","C_0402_1005Metric",106.400600,-37.744400,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",106.400600,-39.598600,90.000000,top
"C3","4.7uF","C_0402_1005Metric",108.254800,-41.021000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",114.808000,-49.428400,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",103.555800,-47.752000,180.000000,top
"C6","0.1uF","C_0402_1005Metric",103.555800,-46.786800,180.000000,top
"C7","4.7uF","C_0402_1005Metric",103.815000,-41.173400,180.000000,top
"C8","0.1uF","C_0402_1005Metric",111.252000,-40.436800,90.000000,top
"C9","0.1uF","C_0402_1005Metric",104.063800,-53.771800,90.000000,top
"C10","0.1uF","C_0402_1005Metric",103.812400,-42.138600,180.000000,top
"C11","0.1uF","C_0402_1005Metric",109.575600,-51.917600,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",114.554000,-43.383200,90.000000,top
"C13","4.7uF","C_0402_1005Metric",114.528600,-53.340000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",114.046000,-55.727600,0.000000,top
"C15","4.7uF","C_0402_1005Metric",104.800400,-51.917600,90.000000,top
"C16","4.7uF","C_0402_1005Metric_small_pads",106.990690,-51.472043,180.000000,top
"C17","4.7uF","C_0402_1005Metric_small_pads",106.990690,-52.411843,180.000000,top
"C18","15pF","C_0402_1005Metric",113.030000,-37.084000,90.000000,top
"C19","15pF","C_0402_1005Metric",111.099600,-37.084000,90.000000,top
"D1","LED_Small","LED_0603_1608Metric",104.698800,-56.184900,-90.000000,top
"D2","1N5819WS","D_SOD-323",114.477800,-37.693600,90.000000,top
"D3","1N5819WS","D_SOD-323",114.122200,-57.175400,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_connector_c2765186",109.220000,-61.610000,0.000000,top
"L1","3.3u","L_pol_2016",107.340400,-54.088243,0.000000,top
"R1","10K","R_0402_1005Metric",104.368600,-43.103800,0.000000,top
"R2","1K","R_0402_1005Metric",114.046000,-54.762400,0.000000,top
"R3","10K","R_0402_1005Metric",113.563400,-53.340000,-90.000000,top
"R4","33R","R_0402_1005Metric",105.003600,-53.771800,-90.000000,top
"R5","1K","R_0402_1005Metric",103.428800,-59.563000,90.000000,top
"R6","1K","R_0402_1005Metric",112.064800,-37.084000,90.000000,top
"R7","10K","R_0402_1005Metric",103.428800,-57.683400,90.000000,top
"R8","10K","R_0402_1005Metric",103.428800,-55.803800,-90.000000,top
"R9","5K1","R_0402_1005Metric",103.428800,-61.442600,-90.000000,top
"R10","5K1","R_0402_1005Metric",103.428800,-63.322200,90.000000,top
"U1","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",109.220000,-46.750200,180.000000,top
"U3","AP2112K-3.3","SOT-23-5",104.216200,-38.658800,180.000000,top
"U4","USBLC6-2P6","SOT-666",108.661200,-56.667400,90.000000,top
"U5","W25Q16JVSS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",111.836200,-54.279800,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",108.635800,-38.397000,90.000000,top
